"text","temperature","air","acoustics","light","facilities","ergonomics","culture","coffee_snacks","focus","cleanliness","design","relax","meetings","male","female","18-25","26-35","36-45","46-60","60+","company1","company2","company3","company4","company5","company6","company7","company8","company9","company10","company11","company12","company13","company14","company15","company16","company17"
"Bustling open space, poor air quality, cold. The bustling open space Bad air, bad distribution sites, tourism Other office configuration",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nice environment, but sometimes openspace angry. openspace Sometimes noise. larger kitchen",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Chancellor, there's peace of mind, people talking, telephone - definitely depends on the person, but if you're a little neurotic :)) and you need absolute peace of mind that you can concentrate, it's not quite perfect. See the question above constantly closed windows :)) no fresh air and Tourism Chancellor own :))) fresh air and feel is just like in the office",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"darkness forever, forever cold, flickering fluorescent lights, lack of storage space general property offices open space, but again they are close colleagues dark, low ceiling, cold Light improvement: more natural light, better artificial lighting",1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"does not satisfy me open space noise and unscrupulous colleagues noise",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"occasional noise",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's so bland. Little green fluorescent homely, little space when open window, the noise from the street ...",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"large open space occasional noise a large open space, occasional noise own office :)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little space, airiness, aesthetics for the reasons described above. little privacy and space act little airy more space :-)",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sometimes there is silence, but sometimes not, sometimes the temperature is ok, sometimes overheated chill out zone should be working",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The classic ills of open space: the noise, lack of privacy, bad air, low variable jobs (only sitting ...), a lousy view out (in gray, not the green). Noise, constant distractions colleagues with whom we share a lot of space. Open space, minimum purification and relaxing green (I used a list of NASA). If it does not change, at least put on aromatherapy using essential oils :) Plants!",0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"still cold, the inability to do their tasks, the search for a phone call put anything into space pretty interesting",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dark and dull the office equipment remodel the seating plan to be together important people closer",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plenty of space, while the proximity of colleagues, while the lack of space for meetings and concentrated work, it would need more space dedicated quiet and concentrated work at a time when there are more colleagues, it is logically quite high and Tourism openness, light, space and at the same time closeness more quiet rooms, space for meetings and work",0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pleasant bright office, a lot of space to chill out, open space. Because our work is important writing, which unfortunately goes in open space a bit difficult. at a time when we really need to write, and we are under stress, we either all at the table and headphones embarking it heads to music or zalézáme to adjacent folding closet and a meeting room. When the editor is fully occupied, there is noise. Various colleagues have different requirements for light, heat and ventilation. When one cold, the other wants to ventilate because oxygen wants to heat up the third and fourth turn on the air conditioning. At various places editors are different from air shafts, not everywhere is the same heater, not everywhere can open the window as we would like. When the windows are open, here comes the noise from the street Revolutionary ... etc. I would not want to sit alone because I liked colleague and current editorial calls often originate the best ideas for our further work, we work as a team. But it would be great if we were able somehow divided using editors to create more comfort zones and have a little more peace to work.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Too many people in the office distributed office max of 6 persons",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's a nice environment big noise Noise less noise",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The space is not divided, does not create a good acoustic conditions for the work does not allow temperature regulation. More oxygen and temperature maps.",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Open space does not satisfy me and I really do not like the environment. Thanks to the open space, there is really a lot of distractions in the summer bustle of the street with the windows open.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The office is from the 90s and is primarily a problem with the ventilation air (conditioning takes air from the central pipe of the building, not from outside, and you either blows cold air on your neck or you can not breathe, it is a long time off. Quite often I have a headache and when I go out in the evening from the office, I feel like I just could breathe. Every day I'm around 13h tired, and therefore probably less effective. in offices, in addition can not open the windows. in one of the meeting room is not the option to let ventilation and other when embarking and sounds like when the shuttle starts plus some unpleasant smells. I think that we could sit in the office less, 5 people in such a small space is much (about 30m2). The problem with concentration is more about my problem, but when someone is missing and we have eg. Only 2-3, it's better. There's no fresh air is stale and constantly person here feels like a vacuum box. Clean and fresh air.",1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
